# Iteration    L2[rho]         L2[rhou]        L2[rhov]        L2[rhoE]        L2_total
# ----------------------------------------------------------------------------------------------------
    2430  1.915737063597e-06  1.652425291029e-06  1.342165876533e-06  6.743158481802e-06  7.326128130882e-06
    2440  1.531389955625e-06  1.883571907399e-06  1.803174585413e-06  5.212553644720e-06  6.026205473687e-06
    2450  2.120641649594e-06  1.535400724268e-06  1.528816401137e-06  7.466005226969e-06  8.058107099536e-06
    2460  2.096252684809e-06  1.320407520395e-06  1.538958879131e-06  6.851471217477e-06  7.446395343658e-06
    2470  2.054841729554e-06  1.588535814566e-06  1.616572072897e-06  6.441207869258e-06  7.130798317828e-06
    2480  2.259130162977e-06  1.414347035316e-06  1.485959884752e-06  7.210218697020e-06  7.829391870862e-06
    2490  2.322797840440e-06  1.290282783883e-06  1.397732866502e-06  7.261643584905e-06  7.857820575085e-06
    2500  2.054833782305e-06  1.132797038489e-06  1.527586075496e-06  6.468842865708e-06  7.048760050007e-06
    2510  2.099869957500e-06  1.159395897719e-06  1.576932615810e-06  6.793776289338e-06  7.375348495525e-06
    2520  1.911970044375e-06  1.399122930572e-06  1.551448289972e-06  5.938433256441e-06  6.579145519222e-06
    2530  2.073246865837e-06  1.432353683696e-06  1.403722540756e-06  7.018711601173e-06  7.588329141107e-06
